from	to	flow
25	37	0
25	38	0
25	39	134
25	40	0
25	41	0
25	42	0
25	43	0
25	44	1001.5
25	45	0
25	46	470
25	47	0
25	48	0
25	49	0
25	50	0
25	51	101
25	52	0
26	27	101
26	28	0
26	29	0
26	30	0
26	31	0
26	32	0
26	33	0
26	34	0
26	35	0
26	36	0
26	37	0
26	38	0
26	39	0
26	40	0
26	41	0
26	42	0
26	43	0
26	44	0
26	45	0
26	46	0
26	47	0
26	48	0
26	49	0
26	50	0
26	51	0
26	52	0
27	28	0
27	29	0
27	30	0
27	31	0
27	32	0
27	33	0
27	34	0
27	35	0
27	36	0
27	37	134
27	38	0
27	39	134
27	40	0
27	41	0
27	42	0
27	43	0
27	44	212.2
27	45	0
27	46	0
27	47	0
27	48	0
27	49	0
27	50	0
27	51	135
27	52	1694
28	29	0
28	30	0
28	31	0
28	32	0
28	33	0
28	34	0
28	35	0
28	36	0
28	37	0
28	38	0
28	39	0
28	40	0
28	41	0
28	42	0
28	43	0
28	44	311.3
28	45	0
28	46	134
28	47	0
28	48	0
28	49	0
28	50	0
28	51	0
28	52	0
29	30	604
29	31	235
29	32	470
29	33	235
29	34	235
29	35	671
29	36	101
29	37	201
29	38	235
29	39	235
29	40	0
29	41	0
29	42	0
29	43	134
29	44	3749.2
29	45	3189
29	46	705
29	47	940
29	48	1108
29	49	1611
29	50	806
29	51	0
29	52	0
30	31	0
30	32	1309
30	33	940
30	34	269
30	35	134
30	36	67
30	37	0
30	38	0
30	39	0
30	40	0
30	41	0
30	42	0
30	43	0
30	44	495.2
30	45	369
30	46	336
30	47	671
30	48	470
30	49	0
30	50	541
30	51	0
30	52	0
31	32	70
31	33	0
31	34	369
31	35	0
31	36	0
31	37	0
31	38	0
31	39	0
31	40	0
31	41	0
31	42	0
31	43	0
31	44	470
31	45	0
31	46	0
31	47	0
31	48	0
31	49	0
31	50	0
31	51	0
31	52	0
32	33	604
32	34	0
32	35	235
32	36	0
32	37	0
32	38	0
32	39	0
32	40	0
32	41	0
32	42	0
32	43	0
32	44	1980.7
32	45	235
32	46	235
32	47	470
32	48	470
32	49	0
32	50	705
32	51	0
32	52	0
33	34	294
33	35	671
33	36	235
33	37	470
33	38	0
33	39	0
33	40	0
33	41	0
33	42	0
33	43	0
33	44	1485.5
33	45	604
33	46	235
33	47	369
33	48	0
33	49	134
33	50	470
33	51	0
33	52	0
34	35	3357
34	36	370
34	37	806
34	38	0
34	39	0
34	40	0
34	41	0
34	42	0
34	43	0
34	44	990.4
34	45	470
34	46	470
34	47	0
34	48	235
34	49	235
34	50	470
34	51	0
34	52	0
35	36	940
35	37	3491
35	38	0
35	39	0
35	40	0
35	41	0
35	42	0
35	43	0
35	44	990.4
35	45	1544
35	46	168
35	47	0
35	48	403
35	49	0
35	50	403
35	51	0
35	52	0
36	37	1904
36	38	0
36	39	0
36	40	0
36	41	0
36	42	0
36	43	0
36	44	1410
36	45	336
36	46	705
36	47	0
36	48	1141
36	49	269
36	50	1175
36	51	0
36	52	0
37	38	0
37	39	0
37	40	0
37	41	0
37	42	0
37	43	0
37	44	0
37	45	1511
37	46	604
37	47	235
37	48	548.3
37	49	0
37	50	235
37	51	0
37	52	0
38	39	548
38	40	0
38	41	0
38	42	0
38	43	0
38	44	1239
38	45	1274
38	46	0
38	47	235
38	48	548
38	49	2193
38	50	235
38	51	0
38	52	0
39	40	4621.7
39	41	2937.5
39	42	1057.5
39	43	0
39	44	0
39	45	1370.8
39	46	0
39	47	0
39	48	0
39	49	0
39	50	0
39	51	0
39	52	0
40	41	2428
40	42	548
40	43	0
40	44	0
40	45	0
40	46	0
40	47	0
40	48	0
40	49	0
40	50	0
40	51	0
40	52	0
41	42	0
41	43	0
41	44	0
41	45	0
41	46	0
41	47	0
41	48	0
41	49	0
41	50	0
41	51	0
41	52	0
42	43	0
42	44	0
42	45	0
42	46	0
42	47	0
42	48	0
42	49	0
42	50	0
42	51	0
42	52	0
43	44	2731
43	45	235
43	46	392
43	47	235
43	48	588
43	49	235
43	50	392
43	51	0
43	52	0
44	45	7345.5
44	46	12124.5
44	47	1929.3
44	48	8212.8
44	49	4743.6
44	50	4495.8
44	51	56
44	52	0
45	46	3015.8
45	47	3211.7
45	48	9165
45	49	11750
45	50	2663.3
45	51	0
45	52	0
46	47	705
46	48	3015.8
46	49	1932
46	50	2016
46	51	0
46	52	0
47	48	1092
47	49	2115
47	50	1582
47	51	0
47	52	0
48	49	3186
48	50	7345.5
48	51	0
48	52	0
49	50	1416
49	51	0
49	52	0
50	51	0
50	52	0
51	52	0
